"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000290199",437.262921963654,5.26612498261082,0.393912223871951,13.3687777719807,9.20408038562911e-41,1.6224952903787e-36
"ENSG00000177606",1325.02441717905,4.08739780821584,0.315227793434351,12.9664892923443,1.89513443942641e-38,1.67037149491044e-34
"ENSG00000305148",123.144626798489,-1.92510416326213,0.283807172573177,-6.78314133433596,1.1759049523788e-11,5.92436249745172e-08
"ENSG00000123358",301.039913973815,3.38009573117969,0.499734211227063,6.76378693962156,1.34430735136186e-11,5.92436249745172e-08
"ENSG00000213236",49.1920220163941,-2.92315102487575,0.439897178868807,-6.64507790750697,3.03056733089609e-11,7.6318344155766e-08
"ENSG00000249936",100.525585555205,-1.9403682739064,0.291813236390106,-6.64934976188827,2.94390670498258e-11,7.6318344155766e-08
"ENSG00000262370",180.328253201827,-2.04924608928171,0.306223726144311,-6.69198992215249,2.2015603204089e-11,7.6318344155766e-08
"ENSG00000260290",95.4701219191554,-1.99719461638799,0.310647521088453,-6.42913424639662,1.28332752653719e-10,2.82781220472471e-07
"ENSG00000110848",4267.06777750049,1.95488451898899,0.313794409296842,6.2298258384193,4.66953991418011e-10,9.14607217857411e-07
"ENSG00000167996",981.468013744044,2.72109710914965,0.441910483950363,6.15757536418912,7.38670947737405e-10,1.3021291466715e-06
"ENSG00000148848",329.85529894069,1.32709093223601,0.217445644109288,6.10309274150837,1.0403543444808e-09,1.66721512586432e-06
"ENSG00000169429",328.159650683454,6.93358110215076,1.19547921552097,5.79983408505284,6.6380564523184e-09,9.22629136792427e-06
"ENSG00000228253",9663.30424099738,-0.752301495119625,0.129803592540023,-5.79569086185087,6.80404968136008e-09,9.22629136792427e-06
"ENSG00000290927",476.138871469161,1.28073109061942,0.236472089005165,5.41599262732206,6.09496125239707e-08,7.67442692551825e-05
"ENSG00000241352",35.3192374320401,2.7615283427203,0.524180683039891,5.26827567682448,1.37711191873959e-07,0.000161838192690276
"ENSG00000158050",623.697380760597,1.843664912662,0.374085696713591,4.92845604325137,8.28819762094522e-07,0.000859437339188367
"ENSG00000233837",63.7396054937948,-1.98514919395247,0.402535468485606,-4.93161311081697,8.15533214960366e-07,0.000859437339188367
"ENSG00000118503",1372.99469007311,1.41419542196338,0.289348093160368,4.88752286741208,1.02112637893046e-06,0.00100002310043257
"ENSG00000007944",3594.20674074909,0.60680488087072,0.126701825387983,4.78923550637552,1.67417905358793e-06,0.00155328570298148
"ENSG00000120738",1051.95700400818,5.02500072926459,1.06968724838017,4.69763544145635,2.63190653889796e-06,0.00231976242338466
"ENSG00000233791",245.774204425441,1.67624171872851,0.35814585709938,4.68033256702834,2.86409935478454e-06,0.00240420682981628
"ENSG00000228348",9.40937447101702,-6.70725309018227,1.43636817698347,-4.66959182030071,3.01798785390637e-06,0.00241823135857552
"ENSG00000229205",20.9678700016807,7.8235500324993,1.6857075447865,4.64110756144844,3.46546665962546e-06,0.00265605418590772
"ENSG00000233830",205.700563005806,-1.10469819028662,0.239026997003556,-4.62164610749045,3.80707059952049e-06,0.0027962933553478
"ENSG00000131016",78.5155340958529,-1.3976226863762,0.305173332756183,-4.5797667632146,4.65494732059216e-06,0.00321489491889974
"ENSG00000198225",75.1890040198555,-1.51372585574326,0.330803844338501,-4.57590164579317,4.74173291873118e-06,0.00321489491889974
"ENSG00000289172",48.8041267131561,4.19367513453706,0.938188578619034,4.46997035575719,7.82304392677261e-06,0.00510757845707954
"ENSG00000081041",15.6581156023698,5.51161752258987,1.25559629969196,4.3896414189354,1.13537722991788e-05,0.00714801064606872
"ENSG00000156564",65.1226386657955,-2.02960069567199,0.463317130079537,-4.38058634983681,1.18360375694354e-05,0.00719467828531059
"ENSG00000109471",81.2971003071354,2.14237136809165,0.490877457937298,4.36437105320347,1.27489023192248e-05,0.00724960161559015
"ENSG00000232702",35.1693241642859,-2.37568357761085,0.544140602821989,-4.3659369752785,1.26578976239359e-05,0.00724960161559015
"ENSG00000279392",150.532292886624,-1.18377635025568,0.272102924410366,-4.35047272211744,1.35844354344096e-05,0.00748332586993041
"ENSG00000211897",17.0346441804726,7.52077246880448,1.74340479777332,4.31384178729461,1.60441784835431e-05,0.00857050843357264
"ENSG00000244171",66.3231475998119,-1.69091906054354,0.393459552077823,-4.29756769562196,1.72682531442725e-05,0.00895308136550692
"ENSG00000115009",40.4366211712345,1.83005149816787,0.428663535826557,4.26920263847293,1.96172988188403e-05,0.00988039267367192
"ENSG00000157111",39.6590618399569,-3.56171638810201,0.845150422115254,-4.21429877439769,2.50555425400321e-05,0.0122688639971024
"ENSG00000251593",522.224035637181,-1.12129990045665,0.269899275542156,-4.15451244989173,3.2598186899063e-05,0.0155308334772077
"ENSG00000179242",262.503555390883,1.18385993777833,0.285686633632344,4.14391083939146,3.41432537105127e-05,0.0158388756949715
"ENSG00000213064",4485.45836712293,-0.532394474317232,0.12978084335293,-4.10225777982828,4.09138076558171e-05,0.0184930410604293
"ENSG00000168824",451.878151989943,1.36738912326765,0.335033596802485,4.08134926263461,4.47750123531884e-05,0.0197323479440501
"ENSG00000288755",51.2251722932863,1.82952422902551,0.452469992153905,4.04341560932334,5.26781221832529e-05,0.022649022874302
"ENSG00000184557",324.19570965993,1.37388794254777,0.34070121958056,4.03253015718341,5.51795312971136e-05,0.0231596375644171
"ENSG00000310107",333.957709578427,-2.19829436630854,0.548967580968318,-4.00441563859016,6.21709720706013e-05,0.025487206875827
"ENSG00000177855",42.9552097842533,-2.14479182401313,0.536414505941611,-3.99838520445714,6.37760992757603e-05,0.0255510245007524
"ENSG00000211598",11.426518026699,6.94391080780692,1.74535725810744,3.97850398567481,6.93502490041818e-05,0.0271668042099048
"ENSG00000230626",17.1872327366181,-2.60120153882491,0.655019834599104,-3.97117980468017,7.1517575325888e-05,0.027406778648799
"ENSG00000106070",452.151006200291,1.15331275882246,0.293247160348181,3.93290341653471,8.39259653384098e-05,0.0314775939784146
"ENSG00000196411",357.723691464186,0.965899775510805,0.247105449565099,3.90885663270791,9.27339739105671e-05,0.03376022605969
"ENSG00000160888",1925.30191006339,1.082194804764,0.277060649498003,3.90598523003824,9.38422439825737e-05,0.03376022605969
"ENSG00000100906",1958.00668131368,1.17869881900974,0.302403341790597,3.89777048107472,9.70823618726749e-05,0.0342273575018302
"ENSG00000130475",2763.51171193662,0.474518081664249,0.123320496783853,3.84784438953364,0.000119161699610522,0.0411878909947899
"ENSG00000198899",42167.0766464175,-0.555245752962685,0.144685315510614,-3.83760958051027,0.000124237799509764,0.0421166140338101
"ENSG00000235126",79.5897738510137,2.07223103288818,0.544144674185078,3.80823544031115,0.000139961981334248,0.0450027869929362
"ENSG00000289334",86.6860650077649,1.25244368387722,0.328946025937578,3.80744433773732,0.000140410329283611,0.0450027869929362
"ENSG00000122877",53.2266124797029,2.1907306229794,0.574463587680848,3.81352390292227,0.000136999268546728,0.0450027869929362
"ENSG00000187260",855.609020955105,1.42577501351681,0.377265504574057,3.77923503800472,0.000157310885395985,0.0486504611887792
"ENSG00000132819",3802.19143377368,0.553681012747732,0.146484460144009,3.77979351668709,0.000156958467928167,0.0486504611887792
"ENSG00000248405",225.536821925835,0.995611259223763,0.265414426987984,3.75115727702639,0.000176020237113304,0.0534980127557471
"ENSG00000256658",109.83357594006,1.27626804405684,0.344312159909935,3.70671789341011,0.000209962598255631,0.0627325539330553
"ENSG00000135318",457.381806321863,1.19178538095278,0.326832499296884,3.64647146020262,0.00026586599106846,0.0781114281759135
"ENSG00000131584",1982.14011875241,0.470281427155988,0.12948254125518,3.6320064666415,0.000281226072750119,0.0812697247612966
"ENSG00000168280",1470.95242116015,0.649079666357172,0.179170956633284,3.62268348929825,0.000291562499109094,0.0816303380996187
"ENSG00000116032",261.734892761312,1.18665489550349,0.327576259669767,3.62253020624805,0.000291735381227364,0.0816303380996187
"ENSG00000232810",498.361375440252,0.961626136622954,0.265880035786973,3.61676698958106,0.000298305608709826,0.0819580230242562
"ENSG00000071894",4993.04786456006,0.77735344378815,0.215130602651454,3.61340243650777,0.000302205099646962,0.0819580230242562
"ENSG00000091181",114.687663930061,-1.55497975357,0.433051608899272,-3.59074928164437,0.00032972870013014,0.0880675382711227
"ENSG00000235576",650.279462781221,-1.07207322556301,0.299858429776722,-3.57526458856362,0.000349873875724484,0.0886203047135139
"ENSG00000170074",565.012745501321,1.24065258442577,0.347436014061669,3.57088077865628,0.000355782820907663,0.0886203047135139
"ENSG00000212802",888.99913278214,-0.861143247850121,0.241128077230113,-3.57131055720366,0.00035519942155259,0.0886203047135139
"ENSG00000171798",63.1529426305507,1.58509694999313,0.444182443022555,3.56857182199036,0.00035893246471054,0.0886203047135139
"ENSG00000154227",90.6883905956558,1.21675277073379,0.340796517962696,3.57032043052441,0.000356544806765261,0.0886203047135139
"ENSG00000133392",868.747613500017,0.652629354445747,0.182995470626699,3.56636889541969,0.000361961761934026,0.0886203047135139
"ENSG00000143365",741.62101584976,0.939367880097237,0.265312153471557,3.54061383093761,0.000399197392284749,0.0950631411516038
"ENSG00000181847",2400.95222553393,-0.663348653490294,0.187537099403444,-3.5371596105539,0.000404455161468702,0.0950631411516038
"ENSG00000293469",24.4887079273484,-1.89441118226958,0.534749576173317,-3.54261371430351,0.000396182570693995,0.0950631411516038
"ENSG00000177030",1211.39989830064,0.519715840115778,0.147249127684374,3.52950029849942,0.000416345234871523,0.0965701815830949
"ENSG00000112149",519.749501759222,1.07809429410134,0.306118622871733,3.52181871193466,0.000428597130438215,0.0981209118878552
"ENSG00000144645",78.0204366716019,2.81550859416466,0.800648713772908,3.51653421248514,0.000437220307542896,0.0988117895046944
"ENSG00000183439",81.1285990976186,-1.62093246959391,0.462087005292723,-3.50785122937417,0.000451741597233075,0.0992920260746871
"ENSG00000217716",298.211281341422,0.705541359112179,0.201283482711191,3.50521239800145,0.000456243142276473,0.0992920260746871
"ENSG00000298702",54.0879718709361,3.24922217896621,0.926696700347024,3.50624123054443,0.000454483115747711,0.0992920260746871
"ENSG00000184986",105.227468887925,1.22173026748881,0.348882450334953,3.50183927656969,0.000462058260879031,0.0993312563753117
"ENSG00000149527",2111.56093756201,0.80081080136695,0.23036692659686,3.47624033187873,0.000508496383508935,0.0998410727696628
"ENSG00000211745",247.428062156026,0.814822587611755,0.23404950320712,3.48141131019913,0.000498778929510202,0.0998410727696628
"ENSG00000290673",25.7794527604681,4.18448337343519,1.19898908334176,3.49000956853787,0.000483003252824027,0.0998410727696628
"ENSG00000287124",191.020817702871,1.17030485826051,0.336721668742208,3.47558522928468,0.00050973999031482,0.0998410727696628
"ENSG00000132507",1686.22134294355,0.450747046910761,0.129506436437053,3.48049918839246,0.000500480340413616,0.0998410727696628
"ENSG00000308563",289.329892426494,1.09916913480885,0.315278335205826,3.48634527675765,0.000489668548972833,0.0998410727696628
"ENSG00000186529",25.1317673678884,4.14812765716567,1.18767172313609,3.49265506314522,0.000478243838762292,0.0998410727696628
"ENSG00000214914",436.762836275793,0.866936792801893,0.248286883940489,3.49167374064627,0.000480004173780647,0.0998410727696628
"ENSG00000198727",67695.1823718886,-0.414780619463389,0.11955919249219,-3.46924908756376,0.000521915322880564,0.101102453975149
"ENSG00000141682",227.097793138889,1.28943215599257,0.372822893195906,3.45856485619573,0.000543061506268866,0.104055306875082
"ENSG00000272256",11.6872916242877,4.04355438163501,1.17112843745999,3.45269933877185,0.000555007234148314,0.104081569399643
"ENSG00000280441",884.280485995051,4.97177284663257,1.4397410428433,3.4532410334111,0.000553893843859818,0.104081569399643
"ENSG00000113645",43.6707815249184,1.53097547607541,0.443829065511047,3.44947096764059,0.000561686125531211,0.10418519787455
"ENSG00000261348",43.7329689939405,3.85137019800093,1.11830160492347,3.4439458738544,0.00057329045801176,0.10418519787455
"ENSG00000089351",3188.32285875996,0.56191922372594,0.163098911642818,3.44526654449127,0.000570496530227884,0.10418519787455
"ENSG00000164144",819.975500207551,-0.499989342574542,0.14563088713267,-3.43326441539184,0.000596360204787434,0.106188259494878
"ENSG00000303941",561.0930520618,-1.34209476654862,0.390646629026081,-3.43557237366821,0.000591303501541227,0.106188259494878
"ENSG00000099985",192.06479339649,1.11537144560745,0.325502585082824,3.42661317213086,0.000611159025522966,0.107735113019188
